"","Pathogens","Library","RPM","Tissue","Family","Type"
"26950","Guangdong rodent arterivirus 1","M2301APBCSW799CX100",6.2402633,"Gut","Arteriviridae","RNA Virus"
"26951","Guangdong rodent arterivirus 1","M2210ZJBCSW421F",817.667,"Lung","Arteriviridae","RNA Virus"
"26959","Guangdong rodent arterivirus 1","M2211APBCSW497F",1627.105315,"Lung","Arteriviridae","RNA Virus"
"26964","Guangdong rodent arterivirus 1","M2201APBCSW090F",5099.2105,"Lung","Arteriviridae","RNA Virus"
"26966","Guangdong rodent arterivirus 1","M2112DBH41P",1402.4004,"Spleen","Arteriviridae","RNA Virus"
"26973","Guangdong rodent arterivirus 1","M2112DBH35C",30.846669,"Gut","Arteriviridae","RNA Virus"
"26975","Guangdong rodent arterivirus 1","M2201ZJBCSW154F",1251.506,"Lung","Arteriviridae","RNA Virus"
"26981","Guangdong rodent arterivirus 1","M2301APBCSW803PX100",466.64355,"Spleen","Arteriviridae","RNA Virus"
"26989","Guangdong rodent arterivirus 1","M2211APBCSW498F",1309.3126,"Lung","Arteriviridae","RNA Virus"
"26991","Guangdong rodent arterivirus 1","M2211APBCSW495F",846.541,"Lung","Arteriviridae","RNA Virus"
"27006","Guangdong rodent arterivirus 1","M2301APBCSW799PX100",114.822802,"Spleen","Arteriviridae","RNA Virus"
"27016","Guangdong rodent arterivirus 1","M2301ZJBCSW818PX100",416.32208,"Spleen","Arteriviridae","RNA Virus"
"27024","Guangdong rodent arterivirus 1","M2201APBCSW103F",681.78185,"Lung","Arteriviridae","RNA Virus"
"27025","Guangdong rodent arterivirus 1","M2206APBCSW307P",1767.9447315,"Spleen","Arteriviridae","RNA Virus"
"27035","Guangdong rodent arterivirus 1","M2206APBCSW309P",1035.95774,"Spleen","Arteriviridae","RNA Virus"
"27044","Guangdong rodent arterivirus 1","M2206APBCSW304C",23.162438,"Gut","Arteriviridae","RNA Virus"
"27046","Guangdong rodent arterivirus 1","M2112DBH34F",1046.2785,"Lung","Arteriviridae","RNA Virus"
"27060","Guangdong rodent arterivirus 1","M2210ZJBCSW422F",1122.97619,"Lung","Arteriviridae","RNA Virus"
"27064","Guangdong rodent arterivirus 1","M2211ZJBCSW438F",377.4461539,"Lung","Arteriviridae","RNA Virus"
"27070","Guangdong rodent arterivirus 1","M2212YFHMSH585FBX100",4.2706334,"Lung","Arteriviridae","RNA Virus"
"27072","Guangdong rodent arterivirus 1","M2301APBCSW805F",144.34299,"Lung","Arteriviridae","RNA Virus"
"27087","Guangdong rodent arterivirus 1","M2112DBH53P",397.722108,"Spleen","Arteriviridae","RNA Virus"
"27093","Guangdong rodent arterivirus 1","M2211APBCSW505CBX100",36.275726,"Gut","Arteriviridae","RNA Virus"
"27113","Guangdong rodent arterivirus 1","M2204ZJBCSW225F",1636.12647,"Lung","Arteriviridae","RNA Virus"
"27118","Guangdong rodent arterivirus 1","M2201APBCSW090P",95.85384,"Spleen","Arteriviridae","RNA Virus"
"27119","Guangdong rodent arterivirus 1","M2301APBCSW804PX100",157.8118,"Spleen","Arteriviridae","RNA Virus"
"27130","Guangdong rodent arterivirus 1","M2112DBH44P",5477.78,"Spleen","Arteriviridae","RNA Virus"
"27131","Guangdong rodent arterivirus 1","M2211APBCSW503PBX100",187.1431,"Spleen","Arteriviridae","RNA Virus"
"27136","Guangdong rodent arterivirus 1","M2206APBCSW305F",1313.515,"Lung","Arteriviridae","RNA Virus"
"27147","Guangdong rodent arterivirus 1","M2112DBH34C",12.08639,"Gut","Arteriviridae","RNA Virus"
"27162","Guangdong rodent arterivirus 1","M2211APBCSW499PBX100",191.7877,"Spleen","Arteriviridae","RNA Virus"
"27167","Guangdong rodent arterivirus 1","M2301APBCSW800F",2627.38,"Lung","Arteriviridae","RNA Virus"
"27172","Guangdong rodent arterivirus 1","M2112DBH40P",3278.91,"Spleen","Arteriviridae","RNA Virus"
"27182","Guangdong rodent arterivirus 1","M2112ZJBCSW120F",2432.251,"Lung","Arteriviridae","RNA Virus"
"27189","Guangdong rodent arterivirus 1","M2211APBCSW505FX100",1912.6748871,"Lung","Arteriviridae","RNA Virus"
"27190","Guangdong rodent arterivirus 1","M2112DBH35F",3142.163468,"Lung","Arteriviridae","RNA Virus"
"27216","Guangdong rodent arterivirus 1","M2211APBCSW497C",63.725804,"Gut","Arteriviridae","RNA Virus"
"27223","Guangdong rodent arterivirus 1","M2211APBCSW499F",504.16058,"Lung","Arteriviridae","RNA Virus"
"27229","Guangdong rodent arterivirus 1","M2210ZJBCSW420RPX100",177.5317,"Spleen","Arteriviridae","RNA Virus"
"27258","Guangdong rodent arterivirus 1","M2112DBH44C",196.00247,"Gut","Arteriviridae","RNA Virus"
"27267","Guangdong rodent arterivirus 1","M2112DBH41C",20.596394,"Gut","Arteriviridae","RNA Virus"
"27272","Guangdong rodent arterivirus 1","M2204ZJBCSW237P",85.42903,"Spleen","Arteriviridae","RNA Virus"
"27277","Guangdong rodent arterivirus 1","M2211APBCSW497P",310.53608,"Spleen","Arteriviridae","RNA Virus"
"27290","Guangdong rodent arterivirus 1","M2201APBCSW097C",16.899319,"Gut","Arteriviridae","RNA Virus"
"27295","Guangdong rodent arterivirus 1","M2209HYBCSW509FBX100",3072.24,"Lung","Arteriviridae","RNA Virus"
"27311","Guangdong rodent arterivirus 1","M2301APBCSW800CX100",552.502,"Gut","Arteriviridae","RNA Virus"
"27319","Guangdong rodent arterivirus 1","M2301APBCSW804C",4.118557,"Gut","Arteriviridae","RNA Virus"
"27327","Guangdong rodent arterivirus 1","M2112DBH63C",88.194179,"Gut","Arteriviridae","RNA Virus"
"27329","Guangdong rodent arterivirus 1","M2210ZJBCSW420F",3183.7894,"Lung","Arteriviridae","RNA Virus"
"27330","Guangdong rodent arterivirus 1","M2206APBCSW299P",890.56506,"Spleen","Arteriviridae","RNA Virus"
"27335","Guangdong rodent arterivirus 1","M2210ZJBCSW411RFX100",4569.37,"Lung","Arteriviridae","RNA Virus"
"27340","Guangdong rodent arterivirus 1","M2212YFBCSH582CBNX100",29.758624,"Gut","Arteriviridae","RNA Virus"
"27342","Guangdong rodent arterivirus 1","M2301ZJBCSW815FX100",4580.1076,"Lung","Arteriviridae","RNA Virus"
"27344","Guangdong rodent arterivirus 1","M2204APBCSW288P",127.63134,"Spleen","Arteriviridae","RNA Virus"
"27345","Guangdong rodent arterivirus 1","M2206APBCSW307C",19.645086,"Gut","Arteriviridae","RNA Virus"
"27347","Guangdong rodent arterivirus 1","M2206APBCSW307F",2289.141,"Lung","Arteriviridae","RNA Virus"
"27352","Guangdong rodent arterivirus 1","M2204ZJBCSW228P",215.76027,"Spleen","Arteriviridae","RNA Virus"
"27384","Guangdong rodent arterivirus 1","M2206APBCSW313P",67.943615,"Spleen","Arteriviridae","RNA Virus"
"27385","Guangdong rodent arterivirus 1","M2211ZJBCSW439F",1913.226,"Lung","Arteriviridae","RNA Virus"
"27393","Guangdong rodent arterivirus 1","M2112DBH51C",130.53389,"Gut","Arteriviridae","RNA Virus"
"27394","Guangdong rodent arterivirus 1","M2112DBH35P",675.28911,"Spleen","Arteriviridae","RNA Virus"
"27423","Guangdong rodent arterivirus 1","M2211APBCSW498C",14.65778,"Gut","Arteriviridae","RNA Virus"
"27430","Guangdong rodent arterivirus 1","M2301APBCSW803F",526.598,"Lung","Arteriviridae","RNA Virus"
"27445","Guangdong rodent arterivirus 1","M2301APBCSW799F",1354.938,"Lung","Arteriviridae","RNA Virus"
"27455","Guangdong rodent arterivirus 1","M2112ZJHJSW114F",1023.749,"Lung","Arteriviridae","RNA Virus"
"27466","Guangdong rodent arterivirus 1","M2204APHMSW297C",113.54607,"Gut","Arteriviridae","RNA Virus"
"27467","Guangdong rodent arterivirus 1","M2204APBCSW288F",1638.944776,"Lung","Arteriviridae","RNA Virus"
"27469","Guangdong rodent arterivirus 1","M2204ZJBCSW237F",1396.8683085,"Lung","Arteriviridae","RNA Virus"
"27470","Guangdong rodent arterivirus 1","M2112ZJBCSW125C",58.352894,"Gut","Arteriviridae","RNA Virus"
"27475","Guangdong rodent arterivirus 1","M2206APBCSW305P",315.9002,"Spleen","Arteriviridae","RNA Virus"
"27477","Guangdong rodent arterivirus 1","M2211APBCSW507FX100",1611.8449,"Lung","Arteriviridae","RNA Virus"
"27478","Guangdong rodent arterivirus 1","M2301ZJBCSW815PX100",243.3928543,"Spleen","Arteriviridae","RNA Virus"
"27485","Guangdong rodent arterivirus 1","M2301ZJBCSW815CX100",25.5204557,"Gut","Arteriviridae","RNA Virus"
"27502","Guangdong rodent arterivirus 1","M2211ZJHMSW434F",2832.5341,"Lung","Arteriviridae","RNA Virus"
"27503","Guangdong rodent arterivirus 1","M2211APBCSW507PBX100",99.17023,"Spleen","Arteriviridae","RNA Virus"
"27504","Guangdong rodent arterivirus 1","M2206APBCSW299F",4246.10579,"Lung","Arteriviridae","RNA Virus"
"27505","Guangdong rodent arterivirus 1","M2112DBH51F",186.09572,"Lung","Arteriviridae","RNA Virus"
"27514","Guangdong rodent arterivirus 1","M2211APBCSW505PBX100",150.1239,"Spleen","Arteriviridae","RNA Virus"
"27538","Guangdong rodent arterivirus 1","M2212YFBCSH582FB",113.9748,"Lung","Arteriviridae","RNA Virus"
"27545","Guangdong rodent arterivirus 1","M2112DBH40C",472.448,"Gut","Arteriviridae","RNA Virus"
"27558","Guangdong rodent arterivirus 1","M2112DBH40F",333.8648,"Lung","Arteriviridae","RNA Virus"
"27562","Guangdong rodent arterivirus 1","M2301APBCSW803CX100",30.610676,"Gut","Arteriviridae","RNA Virus"
"27586","Guangdong rodent arterivirus 1","M2112DBH36P",1416.088,"Spleen","Arteriviridae","RNA Virus"
"27597","Guangdong rodent arterivirus 1","M2204ZJBCSW228F",2498.05965,"Lung","Arteriviridae","RNA Virus"
"27613","Guangdong rodent arterivirus 1","M2206APBCSW309F",540.65116,"Lung","Arteriviridae","RNA Virus"
"27617","Guangdong rodent arterivirus 1","M2112DBH53F",1357.68802,"Lung","Arteriviridae","RNA Virus"
"27624","Guangdong rodent arterivirus 1","M2112DBH34P",295.69001,"Spleen","Arteriviridae","RNA Virus"
"27629","Guangdong rodent arterivirus 1","M2201APBCSW103P",411.21929,"Spleen","Arteriviridae","RNA Virus"
"27634","Guangdong rodent arterivirus 1","M2204ZJBCSW226F",907.4758,"Lung","Arteriviridae","RNA Virus"
"27672","Guangdong rodent arterivirus 1","M2112DBH41F",67.70949,"Lung","Arteriviridae","RNA Virus"
"27681","Guangdong rodent arterivirus 1","M2210ZJBCSW411RPX100",362.58784,"Spleen","Arteriviridae","RNA Virus"
"27684","Guangdong rodent arterivirus 1","M2112DBH36C",53.979217,"Gut","Arteriviridae","RNA Virus"
"27686","Guangdong rodent arterivirus 1","M2204ZJBCSW226P",437.0571,"Spleen","Arteriviridae","RNA Virus"
"27714","Guangdong rodent arterivirus 1","M2211ZJBCSW436F",479.7897,"Lung","Arteriviridae","RNA Virus"
"27719","Guangdong rodent arterivirus 1","M2204ZJBCSW233P",87.03712,"Spleen","Arteriviridae","RNA Virus"
"27721","Guangdong rodent arterivirus 1","M2204APBCSW285P",460.57678,"Spleen","Arteriviridae","RNA Virus"
"27734","Guangdong rodent arterivirus 1","M2112DBH44F",396.731095,"Lung","Arteriviridae","RNA Virus"
"27735","Guangdong rodent arterivirus 1","M2112DBH36F",158.049476,"Lung","Arteriviridae","RNA Virus"
"27753","Guangdong rodent arterivirus 1","M2211APBCSW502F",2114.00002,"Lung","Arteriviridae","RNA Virus"
"27763","Guangdong rodent arterivirus 1","M2112DBH63P",663.912,"Spleen","Arteriviridae","RNA Virus"
"27765","Guangdong rodent arterivirus 1","M2204ZJBCSW224F",559.3501,"Lung","Arteriviridae","RNA Virus"
"27780","Guangdong rodent arterivirus 1","M2210ZJBCSW422C",50.84917,"Gut","Arteriviridae","RNA Virus"
"27791","Guangdong rodent arterivirus 1","M2112DBH51P",920.1164,"Spleen","Arteriviridae","RNA Virus"
"27801","Guangdong rodent arterivirus 1","M2211ZJHMSW434C",40.882783,"Gut","Arteriviridae","RNA Virus"
"27808","Guangdong rodent arterivirus 1","M2204ZJBCSW233F",2628.69084,"Lung","Arteriviridae","RNA Virus"
"27822","Guangdong rodent arterivirus 1","M2204ZJBCSW225C",75.01358,"Gut","Arteriviridae","RNA Virus"
"27826","Guangdong rodent arterivirus 1","M2210ZJBCSW422RPNX100",63.15936,"Spleen","Arteriviridae","RNA Virus"
"27836","Guangdong rodent arterivirus 1","M2301APBCSW805CX100",499.7472,"Gut","Arteriviridae","RNA Virus"
"27846","Guangdong rodent arterivirus 1","M2211APBCSW498P",273.63091,"Spleen","Arteriviridae","RNA Virus"
"27847","Guangdong rodent arterivirus 1","M2206ZJBCSW369RF",352.1219,"Lung","Arteriviridae","RNA Virus"
"27857","Guangdong rodent arterivirus 1","M2301ZJBCSW818FX100",1451.46,"Lung","Arteriviridae","RNA Virus"
"27865","Guangdong rodent arterivirus 1","M2210ZJBCSW411C",31.583041,"Gut","Arteriviridae","RNA Virus"
"27866","Guangdong rodent arterivirus 1","M2112ZJHJSW114P",176.396316,"Spleen","Arteriviridae","RNA Virus"
"27890","Guangdong rodent arterivirus 1","M2206APBCSW313F",2197.27912,"Lung","Arteriviridae","RNA Virus"
"27932","Guangdong rodent arterivirus 1","M2301APBCSW800PX100",4198.3669701,"Spleen","Arteriviridae","RNA Virus"
"27940","Guangdong rodent arterivirus 1","M2201APBCSW097F",5253.119,"Lung","Arteriviridae","RNA Virus"
"27956","Guangdong rodent arterivirus 1","M2211APBCSW502PBX100",105.18424,"Spleen","Arteriviridae","RNA Virus"
"27979","Guangdong rodent arterivirus 1","M2204ZJBCSW225P",802.92405,"Spleen","Arteriviridae","RNA Virus"
"28000","Guangdong rodent arterivirus 1","M2201APBCSW097P",4822.91,"Spleen","Arteriviridae","RNA Virus"
"28004","Guangdong rodent arterivirus 1","M2204APHMSW297P",1230.27772,"Spleen","Arteriviridae","RNA Virus"
"28007","Guangdong rodent arterivirus 1","M2301APBCSW805P",65.06523,"Spleen","Arteriviridae","RNA Virus"
"28022","Guangdong rodent arterivirus 1","M2204APBCSW285F",2947.2703,"Lung","Arteriviridae","RNA Virus"
"28024","Guangdong rodent arterivirus 1","M2204APHMSW297F",2163.398,"Lung","Arteriviridae","RNA Virus"
"28032","Guangdong rodent arterivirus 1","M2112ZJBCSW120P",797.584,"Spleen","Arteriviridae","RNA Virus"
"28095","Guangdong rodent arterivirus 2","M2112DBH10F",75.99726,"Lung","Arteriviridae","RNA Virus"
"28117","Guangdong rodent arterivirus 2","M2210ZJHXSH404RPRX100",420.022,"Spleen","Arteriviridae","RNA Virus"
"28148","Guangdong rodent arterivirus 2","M2209JYHXSH563FBX100",89.1735,"Lung","Arteriviridae","RNA Virus"
"28196","Guangdong rodent arterivirus 2","M2204APHXSH275F",68.7823,"Lung","Arteriviridae","RNA Virus"
"28222","Guangdong rodent arterivirus 2","M2204APHJSH254F",202.2109,"Lung","Arteriviridae","RNA Virus"
"28268","Guangdong rodent arterivirus 2","M2209JYHXSH564CBX100",3.03448,"Gut","Arteriviridae","RNA Virus"
"28435","Guangdong rodent arterivirus 2","M2204APHJSH254RPX100",3.844887,"Spleen","Arteriviridae","RNA Virus"
"28452","Guangdong rodent arterivirus 2","M2212YFWDSW611FBX100",624.6181,"Lung","Arteriviridae","RNA Virus"
"28520","Guangdong rodent arterivirus 2","M2211APHJSH471P",92.9444,"Spleen","Arteriviridae","RNA Virus"
"28544","Guangdong rodent arterivirus 2","M2201APHXSH084F",4165.3613,"Lung","Arteriviridae","RNA Virus"
"28576","Guangdong rodent arterivirus 2","M2301APHJSH790FX100",6.752104,"Lung","Arteriviridae","RNA Virus"
"28577","Guangdong rodent arterivirus 2","M2204APHXSH275P",103.449,"Spleen","Arteriviridae","RNA Virus"
"28614","Guangdong rodent arterivirus 2","M2201APHXSH084C",61.01998,"Gut","Arteriviridae","RNA Virus"
"28734","Guangdong rodent arterivirus 2","M2204APHJSH258F",48.68958,"Lung","Arteriviridae","RNA Virus"
"28797","Guangdong rodent arterivirus 2","M2211APHJSH477C",3.76058,"Gut","Arteriviridae","RNA Virus"
"28837","Guangdong rodent arterivirus 2","M2211APHJSH471F",77.5309,"Lung","Arteriviridae","RNA Virus"
"28995","Guangdong rodent arterivirus 2","M2204APBCSW286P",19.78591,"Spleen","Arteriviridae","RNA Virus"
"29055","Guangdong rodent arterivirus 2","M2201APHXSH084P",144.4319,"Spleen","Arteriviridae","RNA Virus"
"29069","Guangdong rodent arterivirus 2","M2212YFWDSW611CX100",31.250179,"Gut","Arteriviridae","RNA Virus"
"29158","Guangdong rodent arterivirus 2","M2211APHJSH477F",33.03041,"Lung","Arteriviridae","RNA Virus"
"29170","Guangdong rodent arterivirus 2","M2112DBH10P",976.47551,"Spleen","Arteriviridae","RNA Virus"
"29280","Guangdong rodent chaphamaparvovirus 3","M2209HYHXSH554PB",214.982,"Spleen","Parvoviridae","DNA Virus"
"30374","Guangdong rodent dependoparvovirus 1","M2204APCQJH251RPX100",24.0556,"Spleen","Parvoviridae","DNA Virus"
"30499","Guangdong rodent dependoparvovirus 1","M2301APHJSH792C",1.430359,"Gut","Parvoviridae","DNA Virus"
"30615","Guangdong rodent dependoparvovirus 1","M2204APCQJH251C",64.5727,"Gut","Parvoviridae","DNA Virus"
"30669","Guangdong rodent dependoparvovirus 1","M2112DBH07P",3.66222,"Spleen","Parvoviridae","DNA Virus"
"30670","Guangdong rodent dependoparvovirus 1","M2204APCQJH251F",1.466769,"Lung","Parvoviridae","DNA Virus"
"30693","Guangdong rodent dependoparvovirus 1","M2206ZJHXSH364RP",2.65446,"Spleen","Parvoviridae","DNA Virus"
"30778","Guangdong rodent dependoparvovirus 1","M2204APHJSH263P",25.49749,"Spleen","Parvoviridae","DNA Virus"
"30943","Guangdong rodent dependoparvovirus 1","M2204APHXSH271P",2.652334,"Spleen","Parvoviridae","DNA Virus"
"30960","Guangdong rodent dependoparvovirus 1","M2209HYCQJH535PBX100",4.977237,"Spleen","Parvoviridae","DNA Virus"
"30972","Guangdong rodent dependoparvovirus 1","M2201APCQJH069P",49.5872,"Spleen","Parvoviridae","DNA Virus"
"30978","Guangdong rodent dependoparvovirus 1","M2211APCQJH467P",5.51093,"Spleen","Parvoviridae","DNA Virus"
"31115","Guangdong rodent dependoparvovirus 1","M2301APCQJH773PX100",3.084939,"Spleen","Parvoviridae","DNA Virus"
"31168","Guangdong rodent dependoparvovirus 1","M2112DBH24F",2.159867,"Lung","Parvoviridae","DNA Virus"
"31205","Guangdong rodent dependoparvovirus 1","M2112DBH06P",6.855865,"Spleen","Parvoviridae","DNA Virus"
"31308","Guangdong rodent dependoparvovirus 1","M2204ZJCQJH201P",77.7113,"Spleen","Parvoviridae","DNA Virus"
"31360","Guangdong rodent dependoparvovirus 1","M2210ZJCQJH401C",301.67951,"Gut","Parvoviridae","DNA Virus"
"31437","Guangdong rodent dependoparvovirus 1","M2204ZJHMSW215F",4.90481,"Lung","Parvoviridae","DNA Virus"
"31507","Guangdong rodent dependoparvovirus 1","M2209HYCQJH526PBX100",4.966628,"Spleen","Parvoviridae","DNA Virus"
"32416","Guangdong rodent dependoparvovirus 2","M2112ZJHXSH148CRE",182.07878,"Gut","Parvoviridae","DNA Virus"
"33788","Guangdong rodent dependoparvovirus 3","M2112DBH27C",65.0467,"Gut","Parvoviridae","DNA Virus"
"33976","Guangdong rodent dependoparvovirus 4","M2201APBCSW096F",15.966193,"Lung","Parvoviridae","DNA Virus"
"34117","Guangdong rodent dependoparvovirus 4","M2204ZJBCSW229P",4.858642,"Spleen","Parvoviridae","DNA Virus"
"34199","Guangdong rodent dependoparvovirus 4","M2112DBH58C",36.597867,"Gut","Parvoviridae","DNA Virus"
"34213","Guangdong rodent dependoparvovirus 4","M2301APBCSW807CX100",1.239686,"Gut","Parvoviridae","DNA Virus"
"34303","Guangdong rodent dependoparvovirus 4","M2112DBH39C",1382.5512,"Gut","Parvoviridae","DNA Virus"
"34310","Guangdong rodent dependoparvovirus 4","M2112DBH51C",249.170228,"Gut","Parvoviridae","DNA Virus"
"34482","Guangdong rodent dependoparvovirus 4","M2112DBH33C",7.54095,"Gut","Parvoviridae","DNA Virus"
"34962","Guangdong rodent dependoparvovirus 4","M2112DBH63P",5.58644,"Spleen","Parvoviridae","DNA Virus"
"35337","Guangdong rodent mastadenovirus 1","M2204APHJSH255C",3.27114,"Gut","Adenoviridae","DNA Virus"
"35358","Guangdong rodent mastadenovirus 1","M2301APHJSH794CX100",85.97149,"Gut","Adenoviridae","DNA Virus"
"35674","Guangdong rodent mastadenovirus 1","M2209HYHXSH551CBX100",5.704231,"Gut","Adenoviridae","DNA Virus"
"35852","Guangdong rodent mastadenovirus 1","M2112DBH58C",11.260886,"Gut","Adenoviridae","DNA Virus"
"35905","Guangdong rodent mastadenovirus 1","M2112DBH39C",88.889638,"Gut","Adenoviridae","DNA Virus"
"35998","Guangdong rodent mastadenovirus 1","M2201APHXSH083C",7.921464,"Gut","Adenoviridae","DNA Virus"
"36171","Guangdong rodent mastadenovirus 1","M2301ZJBCSW816CX100",17.2834,"Gut","Adenoviridae","DNA Virus"
"36357","Guangdong rodent orbivirus","M2301APBCSW799F",5.43869,"Lung","Sedoreoviridae","RNA Virus"
"36605","Guangdong rodent orbivirus","M2212SGHMSW715FX100",118.3964,"Lung","Sedoreoviridae","RNA Virus"
"36613","Guangdong rodent orbivirus","M2212SGHMSW715PX100",33.4048,"Spleen","Sedoreoviridae","RNA Virus"
"36741","Guangdong rodent orbivirus","M2204ZJBCSW224F",18.1627,"Lung","Sedoreoviridae","RNA Virus"
"36821","Guangdong rodent orbivirus","M2212SSHXSH656PX100",20.07682,"Spleen","Sedoreoviridae","RNA Virus"
"36928","Guangdong rodent orbivirus","M2211APBCSW502F",52.908864,"Lung","Sedoreoviridae","RNA Virus"
"36971","Guangdong rodent orbivirus","M2212SGBCSW699FNX100",4.583489,"Lung","Sedoreoviridae","RNA Virus"
"36994","Guangdong rodent orbivirus","M2301APBCSW799PX100",4.956375,"Spleen","Sedoreoviridae","RNA Virus"
"37252","Guangdong rodent orbivirus","M2212SGHJSH675FNX100",71.2981,"Lung","Sedoreoviridae","RNA Virus"
"37338","Guangdong rodent orbivirus","M2212SSHXSH656FX100",723.9145,"Lung","Sedoreoviridae","RNA Virus"
"37603","Guangdong rodent picorna-like virus 14","M2112DBH40C",108.72772,"Gut","Picornaviridae","RNA Virus"
"37731","Guangdong rodent picorna-like virus 14","M2112DBH33C",5.10347,"Gut","Picornaviridae","RNA Virus"
"38187","Guangdong rodent picorna-like virus 14","M2112DBH58C",4166.99539,"Gut","Picornaviridae","RNA Virus"
"38773","Guangdong rosa-like virus","M2212SZHJSH769C",4.83069,"Gut","Picornaviridae","RNA Virus"
"38976","Guangdong rosa-like virus","M2112DBH33C",9.978441,"Gut","Picornaviridae","RNA Virus"
"39125","Guangdong rosa-like virus","M2211APHXSH491C",1.804382,"Gut","Picornaviridae","RNA Virus"
"39280","Guangdong rosa-like virus","M2112DBH35C",27.36771,"Gut","Picornaviridae","RNA Virus"
"39301","Guangdong rosa-like virus","M2112DBH48C",16.178122,"Gut","Picornaviridae","RNA Virus"
"39462","Guangdong rosa-like virus","M2301ZJCQJH811CX100",1.2011262,"Gut","Picornaviridae","RNA Virus"
"39477","Guangdong rosa-like virus","M2212SZHXSH741CX100",100.683,"Gut","Picornaviridae","RNA Virus"
"39654","Guangdong rosa-like virus","M2204ZJHXSH195C",42.926,"Gut","Picornaviridae","RNA Virus"
"39796","Hepatozoon sp","M2211APHXSH493F",2.937945,"Lung","Hepatozoidae","Eukaryote"
"40050","Hepatozoon sp","M2301ZJHXSH838F",1.69833,"Lung","Hepatozoidae","Eukaryote"
"40100","Hepatozoon sp","M2212YFWDSW618FBX100",8.00969,"Lung","Hepatozoidae","Eukaryote"
"40347","Hepatozoon sp","M2212YFWDSW615FBX100",1.304926,"Lung","Hepatozoidae","Eukaryote"
"40510","Hepatozoon sp","M2206ZJHXSH361F",2.4421065,"Lung","Hepatozoidae","Eukaryote"
"40582","Hepatozoon sp","M2212YFHMSW605FBX100",5.03012,"Lung","Hepatozoidae","Eukaryote"
"40770","Hepatozoon sp","M2204ZJWDSW213F",114.2103,"Lung","Hepatozoidae","Eukaryote"
"41254","Hunnivirus A","M2112DBH58C",19.002716,"Gut","Picornaviridae","RNA Virus"
"41257","Hunnivirus A","M2112DBH48C",14.77804,"Gut","Picornaviridae","RNA Virus"
"41360","Hunnivirus A","M2112DBH40C",5.58936,"Gut","Picornaviridae","RNA Virus"
"41383","Hunnivirus A","M2209JYHJSH575CX100",3.14223,"Gut","Picornaviridae","RNA Virus"
"41474","Hunnivirus A","M2112DBH23C",5.548093,"Gut","Picornaviridae","RNA Virus"
"41476","Hunnivirus A","M2209JYHJSH574CBX100",1.235399,"Gut","Picornaviridae","RNA Virus"
"41520","Hunnivirus A","M2112ZJHXSH145C",493.18817,"Gut","Picornaviridae","RNA Virus"
"41581","Hunnivirus A","M2212YFWDSW615CX100",1.54492,"Gut","Picornaviridae","RNA Virus"
"41714","Hunnivirus A","M2112DBH41C",7.128069,"Gut","Picornaviridae","RNA Virus"
"41809","Hunnivirus A","M2112DBH44C",24.712857,"Gut","Picornaviridae","RNA Virus"
"41829","Hunnivirus A","M2212SGHXSH667CX100",12.046254,"Gut","Picornaviridae","RNA Virus"
"41979","Hunnivirus A","M2209HYHJSH541CBX100",275.0359523,"Gut","Picornaviridae","RNA Virus"
"42211","Hypotrichomonas","M2204APHMSW294C",21.1397,"Gut","Hypotrichomonadidae","Eukaryote"
"42551","Hypotrichomonas","M2112DBH33C",1.52342,"Gut","Hypotrichomonadidae","Eukaryote"
"42949","Hypotrichomonas","M2112DBH47C",1.99109,"Gut","Hypotrichomonadidae","Eukaryote"
"43083","Hypotrichomonas","M2212SGHMSW711CX100",1.50188,"Gut","Hypotrichomonadidae","Eukaryote"
"43216","Hypotrichomonas","M2212YFBCSW593CBNX100",1.06151,"Gut","Hypotrichomonadidae","Eukaryote"
"43239","Klebsiella variicola","M2204ZJCQJH196C",820.155,"Gut","Enterobacteriaceae","Bacteria"
"43251","Klebsiella variicola","M2301APHXSH777CX100",799.327,"Gut","Enterobacteriaceae","Bacteria"
"43275","Klebsiella variicola","M2201APCQJH067F",67.8438,"Lung","Enterobacteriaceae","Bacteria"
"43437","Klebsiella variicola","M2212SZHJSH759CX100",383.3,"Gut","Enterobacteriaceae","Bacteria"
"43463","Klebsiella variicola","M2212SZHXSH744CBN",17789.6,"Gut","Enterobacteriaceae","Bacteria"
"43620","Klebsiella variicola","M2201APCQJH075C",200.463,"Gut","Enterobacteriaceae","Bacteria"
"43843","Klebsiella variicola","M2201APHXSH081F",96.3275,"Lung","Enterobacteriaceae","Bacteria"
"44211","Klebsiella variicola","M2204ZJCQJH204CBRX100",333.843,"Gut","Enterobacteriaceae","Bacteria"
"44261","Klebsiella variicola","M2201APCQJH074CRX100",213.416,"Gut","Enterobacteriaceae","Bacteria"
"44370","Klebsiella variicola","M2212SZHXSH745CX100",147.021,"Gut","Enterobacteriaceae","Bacteria"
"44481","Mischivirus E","M2201APCQJH078C",46.90147,"Gut","Picornaviridae","RNA Virus"
"44543","Mischivirus E","M2206APCQJH323C",469.12481,"Gut","Picornaviridae","RNA Virus"
"44564","Mischivirus E","M2204APCQJH243C",654.468231,"Gut","Picornaviridae","RNA Virus"
"44605","Mischivirus E","M2209JYCQJH559CX100",851.8181,"Gut","Picornaviridae","RNA Virus"
"44629","Mischivirus E","M2212SSHJSH636PX100",3.248545,"Spleen","Picornaviridae","RNA Virus"
