"","Library","Pathogens","RPM","Tissue","Family","Type","Individual"
"238","M2112DBH57C","Spironucleus sp3",6.10449,"Gut","Hexamitidae","Eukaryote","M2112DBH57"
"239","M2112DBH57C","Murine kobuvirus",2.959756,"Gut","Picornaviridae","RNA Virus","M2112DBH57"
"240","M2112DBH58C","Betacoronavirus 1",966.03126,"Gut","Coronaviridae","RNA Virus","M2112DBH58"
"241","M2112DBH58C","Guangdong rodent dependoparvovirus 4",36.597867,"Gut","Parvoviridae","DNA Virus","M2112DBH58"
"242","M2112DBH58C","Murine kobuvirus",133.8403,"Gut","Picornaviridae","RNA Virus","M2112DBH58"
"243","M2112DBH58C","Rodent astrovirus 3",16.83268,"Gut","Astroviridae","RNA Virus","M2112DBH58"
"244","M2112DBH58C","Guangdong rodent picorna-like virus 14",4166.99539,"Gut","Picornaviridae","RNA Virus","M2112DBH58"
"245","M2112DBH58C","Guangdong rodent mastadenovirus 1",11.260886,"Gut","Adenoviridae","DNA Virus","M2112DBH58"
"246","M2112DBH58C","Rodent astrovirus 1",5739.1147404,"Gut","Astroviridae","RNA Virus","M2112DBH58"
"247","M2112DBH58C","Strongyloides ratti",1.1730088,"Gut","Strongyloididae","Eukaryote","M2112DBH58"
"248","M2112DBH58C","Rat minute virus 2a",831.429,"Gut","Parvoviridae","DNA Virus","M2112DBH58"
"249","M2112DBH58C","Hunnivirus A",19.002716,"Gut","Picornaviridae","RNA Virus","M2112DBH58"
"250","M2112DBH58C","Parabovirus A",44.45713,"Gut","Picornaviridae","RNA Virus","M2112DBH58"
"251","M2112DBH58F","Rat minute virus 2a",571.343,"Lung","Parvoviridae","DNA Virus","M2112DBH58"
"252","M2112DBH58F","Betacoronavirus 1",613.7809896,"Lung","Coronaviridae","RNA Virus","M2112DBH58"
"253","M2112DBH58P","Rat minute virus 2a",3754.206421,"Spleen","Parvoviridae","DNA Virus","M2112DBH58"
"254","M2112DBH60F","Nippostrongylus brasiliensis",1.5822916,"Lung","Ancylostomatidae","Eukaryote","M2112DBH60"
"255","M2112DBH62C","Chlamydia muridarum",145.572,"Gut","Chlamydiaceae","Bacteria","M2112DBH62"
"256","M2112DBH63C","Guangdong rodent arterivirus 1",88.194179,"Gut","Arteriviridae","RNA Virus","M2112DBH63"
"257","M2112DBH63P","Guangdong rodent dependoparvovirus 4",5.58644,"Spleen","Parvoviridae","DNA Virus","M2112DBH63"
"258","M2112DBH63P","Rat minute virus 2a",140.63835,"Spleen","Parvoviridae","DNA Virus","M2112DBH63"
"259","M2112DBH63P","Guangdong rodent arterivirus 1",663.912,"Spleen","Arteriviridae","RNA Virus","M2112DBH63"
"260","M2112ZJBCSW120F","Guangdong rodent arterivirus 1",2432.251,"Lung","Arteriviridae","RNA Virus","M2112ZJBCSW120"
"261","M2112ZJBCSW120P","Guangdong rodent arterivirus 1",797.584,"Spleen","Arteriviridae","RNA Virus","M2112ZJBCSW120"
"262","M2112ZJBCSW121C","Chlamydia muridarum",25.6038,"Gut","Chlamydiaceae","Bacteria","M2112ZJBCSW121"
"263","M2112ZJBCSW122F","Pneumocystis wakefieldiae",1.0523181,"Lung","Pneumocystaceae","Eukaryote","M2112ZJBCSW122"
"264","M2112ZJBCSW122F","Rat hepatitis E virus",85.798988,"Lung","Hepeviridae","RNA Virus","M2112ZJBCSW122"
"265","M2112ZJBCSW122P","Rat hepatitis E virus",76.1115623,"Spleen","Hepeviridae","RNA Virus","M2112ZJBCSW122"
"266","M2112ZJBCSW124C","Rat minute virus 2a",203.65997,"Gut","Parvoviridae","DNA Virus","M2112ZJBCSW124"
"267","M2112ZJBCSW125C","Guangdong rodent arterivirus 1",58.352894,"Gut","Arteriviridae","RNA Virus","M2112ZJBCSW125"
"268","M2112ZJBCSW125C","Chlamydia muridarum",46.6241,"Gut","Chlamydiaceae","Bacteria","M2112ZJBCSW125"
"269","M2112ZJBCSW125F","Guangdong rodent arterivirus 1",1271.88704,"Lung","Arteriviridae","RNA Virus","M2112ZJBCSW125"
"270","M2112ZJCQJH149F","Wenzhou Apodemus agrarius hepacivirus 1",15.11484,"Lung","Flaviviridae","RNA Virus","M2112ZJCQJH149"
"271","M2112ZJCQJH151C","Strongyloides stercoralis",2.616002,"Gut","Strongyloididae","Eukaryote","M2112ZJCQJH151"
"272","M2112ZJHJSH129C","Rodent astrovirus 3",132.44882,"Gut","Astroviridae","RNA Virus","M2112ZJHJSH129"
"273","M2112ZJHJSH129F","Rodent astrovirus 3",21.391555,"Lung","Astroviridae","RNA Virus","M2112ZJHJSH129"
"274","M2112ZJHJSH129P","Rodent astrovirus 3",192.28686,"Spleen","Astroviridae","RNA Virus","M2112ZJHJSH129"
"275","M2112ZJHJSH130C","Guangdong Rattus norvegicus arterivirus virus",3.88197,"Gut","Arteriviridae","RNA Virus","M2112ZJHJSH130"
"276","M2112ZJHJSH130F","Guangdong Rattus norvegicus arterivirus virus",7.64093,"Lung","Arteriviridae","RNA Virus","M2112ZJHJSH130"
"277","M2112ZJHJSH131C","Rodent astrovirus 3",5.04948,"Gut","Astroviridae","RNA Virus","M2112ZJHJSH131"
"278","M2112ZJHJSH132P","Rat minute virus 2a",602.7688,"Spleen","Parvoviridae","DNA Virus","M2112ZJHJSH132"
"279","M2112ZJHJSH133C","Rodent astrovirus 3",50.30336,"Gut","Astroviridae","RNA Virus","M2112ZJHJSH133"
"280","M2112ZJHJSH133F","Rodent astrovirus 3",1.514428,"Lung","Astroviridae","RNA Virus","M2112ZJHJSH133"
"281","M2112ZJHJSH133P","Rodent astrovirus 3",35.19409,"Spleen","Astroviridae","RNA Virus","M2112ZJHJSH133"
"282","M2112ZJHJSH133P","Wenzhou virus",17.82023,"Spleen","Arenaviridae","RNA Virus","M2112ZJHJSH133"
"283","M2112ZJHJSH135CRX100","Beilong virus",17.647239,"Gut","Paramyxoviridae","RNA Virus","M2112ZJHJSH135"
"284","M2112ZJHJSH135CRX100","Wenzhou virus",14.862828,"Gut","Arenaviridae","RNA Virus","M2112ZJHJSH135"
"285","M2112ZJHJSH135CRX100","Rat minute virus 2a",3.0101878,"Gut","Parvoviridae","DNA Virus","M2112ZJHJSH135"
"286","M2112ZJHJSH135F","Beilong virus",240.9705589,"Lung","Paramyxoviridae","RNA Virus","M2112ZJHJSH135"
"287","M2112ZJHJSH135P","Bartonella kosoyi",201.437,"Spleen","Bartonellaceae","Bacteria","M2112ZJHJSH135"
"288","M2112ZJHJSH136C","Tritrichomonas sp",1.7755372,"Gut","Tritrichomonadidae","Eukaryote","M2112ZJHJSH136"
"289","M2112ZJHJSH136P","Porcine bocavirus",33.311585,"Spleen","Parvoviridae","DNA Virus","M2112ZJHJSH136"
"290","M2112ZJHJSW114F","Guangdong rodent arterivirus 1",1023.749,"Lung","Arteriviridae","RNA Virus","M2112ZJHJSW114"
"291","M2112ZJHJSW114F","Rat hepatitis E virus",19.822385,"Lung","Hepeviridae","RNA Virus","M2112ZJHJSW114"
"292","M2112ZJHJSW114P","Rat hepatitis E virus",84.883049,"Spleen","Hepeviridae","RNA Virus","M2112ZJHJSW114"
"293","M2112ZJHJSW114P","Guangdong rodent arterivirus 1",176.396316,"Spleen","Arteriviridae","RNA Virus","M2112ZJHJSW114"
"294","M2112ZJHJSW115F","Beilong virus",4.079772,"Lung","Paramyxoviridae","RNA Virus","M2112ZJHJSW115"
"295","M2112ZJHMSW126C","Tritrichomonas sp",7.1446401,"Gut","Tritrichomonadidae","Eukaryote","M2112ZJHMSW126"
"296","M2112ZJHMSW127C","Rodent astrovirus 3",131.87082,"Gut","Astroviridae","RNA Virus","M2112ZJHMSW127"
"297","M2112ZJHMSW127PRX100","Rat minute virus 2a",10.625047,"Spleen","Parvoviridae","DNA Virus","M2112ZJHMSW127"
"298","M2112ZJHXSH137CRX100","Deer mastadenovirus B",1.143451,"Gut","Adenoviridae","DNA Virus","M2112ZJHXSH137"
"299","M2112ZJHXSH137F","Deer mastadenovirus B",1.404769,"Lung","Adenoviridae","DNA Virus","M2112ZJHXSH137"
"300","M2112ZJHXSH137P","Bartonella sp",111.527,"Spleen","Bartonellaceae","Bacteria","M2112ZJHXSH137"
"301","M2112ZJHXSH138CRX100","Rodent astrovirus 3",2.31107,"Gut","Astroviridae","RNA Virus","M2112ZJHXSH138"
"302","M2112ZJHXSH138CRX100","Tritrichomonas sp",60.383993,"Gut","Tritrichomonadidae","Eukaryote","M2112ZJHXSH138"
"303","M2112ZJHXSH138F","Pneumocystis carinii",9.417939,"Lung","Pneumocystaceae","Eukaryote","M2112ZJHXSH138"
"304","M2112ZJHXSH142C","Tritrichomonas sp",443.4089866,"Gut","Tritrichomonadidae","Eukaryote","M2112ZJHXSH142"
"305","M2112ZJHXSH142C","Rodent astrovirus 3",10.07346,"Gut","Astroviridae","RNA Virus","M2112ZJHXSH142"
"306","M2112ZJHXSH143F","Trypanosoma lewis",2.0133498,"Lung","Trypanosomatidae","Eukaryote","M2112ZJHXSH143"
"307","M2112ZJHXSH143F","Norway rat pestivirus",4.66426,"Lung","Flaviviridae","RNA Virus","M2112ZJHXSH143"
"308","M2112ZJHXSH143P","Norway rat pestivirus",32.146629,"Spleen","Flaviviridae","RNA Virus","M2112ZJHXSH143"
"309","M2112ZJHXSH144F","Trypanosoma lewis",6.649969,"Lung","Trypanosomatidae","Eukaryote","M2112ZJHXSH144"
"310","M2112ZJHXSH145C","Hunnivirus A",493.18817,"Gut","Picornaviridae","RNA Virus","M2112ZJHXSH145"
"311","M2112ZJHXSH147C","Parabovirus A",668.868,"Gut","Picornaviridae","RNA Virus","M2112ZJHXSH147"
"312","M2112ZJHXSH148CRE","Tritrichomonas sp",238.2632085,"Gut","Tritrichomonadidae","Eukaryote","M2112ZJHXSH148"
"313","M2112ZJHXSH148CRE","Guangdong murine mastadenovirus 2",20.6079,"Gut","Adenoviridae","DNA Virus","M2112ZJHXSH148"
"314","M2112ZJHXSH148CRE","Guangdong rodent dependoparvovirus 2",182.07878,"Gut","Parvoviridae","DNA Virus","M2112ZJHXSH148"
"315","M2112ZJWDSW117C","Rodent astrovirus 3",31.6304,"Gut","Astroviridae","RNA Virus","M2112ZJWDSW117"
"316","M2112ZJWDSW118C","Chilomastix sp",6.13615,"Gut","Retortamonadidae","Eukaryote","M2112ZJWDSW118"
"317","M2112ZJWDSW118C","Spironucleus sp5",1.96892,"Gut","Hexamitidae","Eukaryote","M2112ZJWDSW118"
"318","M2112ZJWDSW118C","Giardia sp1",2.2747714,"Gut","Hexamitidae","Eukaryote","M2112ZJWDSW118"
"319","M2112ZJWDSW118C","Tritrichomonas sp",323.9921696,"Gut","Tritrichomonadidae","Eukaryote","M2112ZJWDSW118"
"320","M2112ZJWDSW118P","Bartonella kosoyi",1476.91,"Spleen","Bartonellaceae","Bacteria","M2112ZJWDSW118"
"321","M2201APBCSW090C","Tritrichomonas sp",27.944918,"Gut","Tritrichomonadidae","Eukaryote","M2201APBCSW090"
"322","M2201APBCSW090C","Rat hepatitis E virus",280.189182,"Gut","Hepeviridae","RNA Virus","M2201APBCSW090"
"323","M2201APBCSW090F","Rat hepatitis E virus",203.5786153,"Lung","Hepeviridae","RNA Virus","M2201APBCSW090"
"324","M2201APBCSW090F","Guangdong rodent arterivirus 1",5099.2105,"Lung","Arteriviridae","RNA Virus","M2201APBCSW090"
"325","M2201APBCSW090F","Porcine bocavirus",8.842892,"Lung","Parvoviridae","DNA Virus","M2201APBCSW090"
"326","M2201APBCSW090P","Rat minute virus 2a",32539.3489,"Spleen","Parvoviridae","DNA Virus","M2201APBCSW090"
"327","M2201APBCSW090P","Guangdong rodent arterivirus 1",95.85384,"Spleen","Arteriviridae","RNA Virus","M2201APBCSW090"
"328","M2201APBCSW090P","Rat hepatitis E virus",152.26041,"Spleen","Hepeviridae","RNA Virus","M2201APBCSW090"
"329","M2201APBCSW091C","Tritrichomonas sp",6.278633,"Gut","Tritrichomonadidae","Eukaryote","M2201APBCSW091"
"330","M2201APBCSW091F","Pneumocystis wakefieldiae",8.721342,"Lung","Pneumocystaceae","Eukaryote","M2201APBCSW091"
"331","M2201APBCSW091P","Rat minute virus 2a",176821.6813,"Spleen","Parvoviridae","DNA Virus","M2201APBCSW091"
"332","M2201APBCSW092C","Rodent astrovirus 3",8.01996,"Gut","Astroviridae","RNA Virus","M2201APBCSW092"
"333","M2201APBCSW092C","Eimeria falciformis",1.724727,"Gut","Eimeriidae","Eukaryote","M2201APBCSW092"
"334","M2201APBCSW092F","Pneumocystis wakefieldiae",107.3318667,"Lung","Pneumocystaceae","Eukaryote","M2201APBCSW092"
"335","M2201APBCSW093F","Porcine bocavirus",4.939649,"Lung","Parvoviridae","DNA Virus","M2201APBCSW093"
"336","M2201APBCSW093PRE","Rat minute virus 2a",5831.6449,"Spleen","Parvoviridae","DNA Virus","M2201APBCSW093"
"337","M2201APBCSW094C","Rat minute virus 2a",958.991,"Gut","Parvoviridae","DNA Virus","M2201APBCSW094"
"338","M2201APBCSW094FBRX100","Pneumocystis wakefieldiae",5.1622231,"Lung","Pneumocystaceae","Eukaryote","M2201APBCSW094"
"339","M2201APBCSW094FBRX100","Rat minute virus 2a",17.325233,"Lung","Parvoviridae","DNA Virus","M2201APBCSW094"
"340","M2201APBCSW094P","Rat minute virus 2a",87944.412,"Spleen","Parvoviridae","DNA Virus","M2201APBCSW094"
"341","M2201APBCSW095C","Rat minute virus 2a",344.26962,"Gut","Parvoviridae","DNA Virus","M2201APBCSW095"
"342","M2201APBCSW095C","Guangdong murine mastadenovirus 2",13.830692,"Gut","Adenoviridae","DNA Virus","M2201APBCSW095"
"343","M2201APBCSW095P","Rat minute virus 2a",323.537012,"Spleen","Parvoviridae","DNA Virus","M2201APBCSW095"
"344","M2201APBCSW096F","Porcine bocavirus",377.762,"Lung","Parvoviridae","DNA Virus","M2201APBCSW096"
"345","M2201APBCSW096F","Guangdong rodent dependoparvovirus 4",15.966193,"Lung","Parvoviridae","DNA Virus","M2201APBCSW096"
"346","M2201APBCSW096F","Pneumocystis wakefieldiae",6.7308361,"Lung","Pneumocystaceae","Eukaryote","M2201APBCSW096"
"347","M2201APBCSW096F","Wenzhou virus",24.99283,"Lung","Arenaviridae","RNA Virus","M2201APBCSW096"
"348","M2201APBCSW097C","Chlamydia muridarum",29.9902,"Gut","Chlamydiaceae","Bacteria","M2201APBCSW097"
"349","M2201APBCSW097C","Guangdong rodent arterivirus 1",16.899319,"Gut","Arteriviridae","RNA Virus","M2201APBCSW097"
"350","M2201APBCSW097F","Porcine bocavirus",4.03724,"Lung","Parvoviridae","DNA Virus","M2201APBCSW097"
"351","M2201APBCSW097F","Guangdong rodent arterivirus 1",5253.119,"Lung","Arteriviridae","RNA Virus","M2201APBCSW097"
"352","M2201APBCSW097P","Guangdong rodent arterivirus 1",4822.91,"Spleen","Arteriviridae","RNA Virus","M2201APBCSW097"
"353","M2201APBCSW098C","Giardia sp1",11.587561,"Gut","Hexamitidae","Eukaryote","M2201APBCSW098"
"354","M2201APBCSW098F","Wenzhou virus",44.927133,"Lung","Arenaviridae","RNA Virus","M2201APBCSW098"
"355","M2201APBCSW098P","Wenzhou virus",7.63942,"Spleen","Arenaviridae","RNA Virus","M2201APBCSW098"
"356","M2201APBCSW100C","Betacoronavirus 1",614.488342,"Gut","Coronaviridae","RNA Virus","M2201APBCSW100"
"357","M2201APBCSW100C","Porcine bocavirus",10.20335,"Gut","Parvoviridae","DNA Virus","M2201APBCSW100"
"358","M2201APBCSW102C","Eimeria falciformis",1.396455,"Gut","Eimeriidae","Eukaryote","M2201APBCSW102"
"359","M2201APBCSW103F","Guangdong rodent arterivirus 1",681.78185,"Lung","Arteriviridae","RNA Virus","M2201APBCSW103"
"360","M2201APBCSW103P","Guangdong rodent arterivirus 1",411.21929,"Spleen","Arteriviridae","RNA Virus","M2201APBCSW103"
"361","M2201APCQJH064C","Mischivirus E",132.24902,"Gut","Picornaviridae","RNA Virus","M2201APCQJH064"
"362","M2201APCQJH065C","Mischivirus E",549.1835,"Gut","Picornaviridae","RNA Virus","M2201APCQJH065"
"363","M2201APCQJH066P","Wenzhou Apodemus agrarius hepacivirus 1",3.26869,"Spleen","Flaviviridae","RNA Virus","M2201APCQJH066"
"364","M2201APCQJH067C","Mischivirus E",139.48538,"Gut","Picornaviridae","RNA Virus","M2201APCQJH067"
"365","M2201APCQJH067F","Klebsiella variicola",67.8438,"Lung","Enterobacteriaceae","Bacteria","M2201APCQJH067"
"366","M2201APCQJH068C","Strongyloides stercoralis",14.52327,"Gut","Strongyloididae","Eukaryote","M2201APCQJH068"
"367","M2201APCQJH068F","Wenzhou Apodemus agrarius hepacivirus 1",2.221636,"Lung","Flaviviridae","RNA Virus","M2201APCQJH068"
"368","M2201APCQJH069P","Guangdong rodent dependoparvovirus 1",49.5872,"Spleen","Parvoviridae","DNA Virus","M2201APCQJH069"
"369","M2201APCQJH070F","Wenzhou Apodemus agrarius hepacivirus 1",3.015912,"Lung","Flaviviridae","RNA Virus","M2201APCQJH070"
"370","M2201APCQJH072C","Brachylaima sp",23.0047,"Gut","Brachylaimidae","Eukaryote","M2201APCQJH072"
"371","M2201APCQJH072C","Mischivirus E",7316.51257,"Gut","Picornaviridae","RNA Virus","M2201APCQJH072"
"372","M2201APCQJH072C","Strongyloides stercoralis",3.087684,"Gut","Strongyloididae","Eukaryote","M2201APCQJH072"
"373","M2201APCQJH073CRX100","Mischivirus E",197.955412,"Gut","Picornaviridae","RNA Virus","M2201APCQJH073"
"374","M2201APCQJH073CRX100","Wenzhou Apodemus agrarius hepacivirus 1",2.077423,"Gut","Flaviviridae","RNA Virus","M2201APCQJH073"
"375","M2201APCQJH073F","Pneumocystis sus",3.299286,"Lung","Pneumocystaceae","Eukaryote","M2201APCQJH073"
"376","M2201APCQJH073F","Wenzhou Apodemus agrarius hepacivirus 1",14.8972778,"Lung","Flaviviridae","RNA Virus","M2201APCQJH073"
"377","M2201APCQJH074CRX100","Klebsiella variicola",213.416,"Gut","Enterobacteriaceae","Bacteria","M2201APCQJH074"
"378","M2201APCQJH074CRX100","Brachylaima sp",10.6259,"Gut","Brachylaimidae","Eukaryote","M2201APCQJH074"
"379","M2201APCQJH074RPX100","Porcine bocavirus",1.63977,"Spleen","Parvoviridae","DNA Virus","M2201APCQJH074"
"380","M2201APCQJH075C","Porcine bocavirus",2.41799,"Gut","Parvoviridae","DNA Virus","M2201APCQJH075"
"381","M2201APCQJH075C","Klebsiella variicola",200.463,"Gut","Enterobacteriaceae","Bacteria","M2201APCQJH075"
"382","M2201APCQJH075C","Angiostrongylus cantonensis",2.5557199,"Gut","Ancylostomatidae","Eukaryote","M2201APCQJH075"
"383","M2201APCQJH076C","Mischivirus E",361.65,"Gut","Picornaviridae","RNA Virus","M2201APCQJH076"
"384","M2201APCQJH076C","Chlamydia muridarum",60.686,"Gut","Chlamydiaceae","Bacteria","M2201APCQJH076"
"385","M2201APCQJH076C","Guangdong dicipi-like virus",8.03897,"Gut","Picornaviridae","RNA Virus","M2201APCQJH076"
"386","M2201APCQJH076F","Wenzhou Apodemus agrarius hepacivirus 1",3.686997,"Lung","Flaviviridae","RNA Virus","M2201APCQJH076"
"387","M2201APCQJH077C","Mischivirus E",31.22247,"Gut","Picornaviridae","RNA Virus","M2201APCQJH077"
"388","M2201APCQJH077F","Wenzhou Apodemus agrarius hepacivirus 1",11.147454,"Lung","Flaviviridae","RNA Virus","M2201APCQJH077"
"389","M2201APCQJH078C","Mischivirus E",46.90147,"Gut","Picornaviridae","RNA Virus","M2201APCQJH078"
"390","M2201APCQJH078C","Strongyloides stercoralis",3.450007,"Gut","Strongyloididae","Eukaryote","M2201APCQJH078"
"391","M2201APCQJH078F","Wenzhou Apodemus agrarius hepacivirus 1",5.073196,"Lung","Flaviviridae","RNA Virus","M2201APCQJH078"
"392","M2201APHJSH089C","Norway rat pestivirus",3.502175,"Gut","Flaviviridae","RNA Virus","M2201APHJSH089"
"393","M2201APHJSH089C","Tritrichomonas sp",10.84006,"Gut","Tritrichomonadidae","Eukaryote","M2201APHJSH089"
"394","M2201APHJSH089F","Norway rat pestivirus",54.348342,"Lung","Flaviviridae","RNA Virus","M2201APHJSH089"
"395","M2201APHJSH089P","Norway rat pestivirus",231.65471,"Spleen","Flaviviridae","RNA Virus","M2201APHJSH089"
"396","M2201APHMSW106FBRX100","Norway rat pestivirus",15.640266,"Lung","Flaviviridae","RNA Virus","M2201APHMSW106"
"397","M2201APHMSW106P","Norway rat pestivirus",89.826616,"Spleen","Flaviviridae","RNA Virus","M2201APHMSW106"
"398","M2201APHWSW105C","Porcine bocavirus",6.44184,"Gut","Parvoviridae","DNA Virus","M2201APHWSW105"
"399","M2201APHWSW105F","Pneumocystis wakefieldiae",4.9938255,"Lung","Pneumocystaceae","Eukaryote","M2201APHWSW105"
"400","M2201APHWSW105P","Rat minute virus 2a",3226.262,"Spleen","Parvoviridae","DNA Virus","M2201APHWSW105"
"401","M2201APHXSH079F","Tritrichomonas sp",2.6939706,"Lung","Tritrichomonadidae","Eukaryote","M2201APHXSH079"
"402","M2201APHXSH079P","Rat minute virus 2a",934.391,"Spleen","Parvoviridae","DNA Virus","M2201APHXSH079"
"403","M2201APHXSH080F","Rodent pegivirus",12.42504,"Lung","Flaviviridae","RNA Virus","M2201APHXSH080"
"404","M2201APHXSH080P","Rodent pegivirus",1.447152,"Spleen","Flaviviridae","RNA Virus","M2201APHXSH080"
"405","M2201APHXSH081F","Klebsiella variicola",96.3275,"Lung","Enterobacteriaceae","Bacteria","M2201APHXSH081"
"406","M2201APHXSH082P","Porcine bocavirus",52.68426,"Spleen","Parvoviridae","DNA Virus","M2201APHXSH082"
"407","M2201APHXSH083C","Rat minute virus 2a",179.3372,"Gut","Parvoviridae","DNA Virus","M2201APHXSH083"
"408","M2201APHXSH083C","Guangdong rodent mastadenovirus 1",7.921464,"Gut","Adenoviridae","DNA Virus","M2201APHXSH083"
"409","M2201APHXSH083F","Trypanosoma lewis",19.443295,"Lung","Trypanosomatidae","Eukaryote","M2201APHXSH083"
"410","M2201APHXSH084C","Wenzhou virus",1957.0500972,"Gut","Arenaviridae","RNA Virus","M2201APHXSH084"
"411","M2201APHXSH084C","Guangdong rodent arterivirus 2",61.01998,"Gut","Arteriviridae","RNA Virus","M2201APHXSH084"
"412","M2201APHXSH084F","Wenzhou virus",9937.2,"Lung","Arenaviridae","RNA Virus","M2201APHXSH084"
"413","M2201APHXSH084F","Guangdong rodent arterivirus 2",4165.3613,"Lung","Arteriviridae","RNA Virus","M2201APHXSH084"
"414","M2201APHXSH084P","Wenzhou virus",288.21747,"Spleen","Arenaviridae","RNA Virus","M2201APHXSH084"
"415","M2201APHXSH084P","Guangdong rodent arterivirus 2",144.4319,"Spleen","Arteriviridae","RNA Virus","M2201APHXSH084"
"416","M2201APHXSH085FX100","Rat minute virus 2a",7.1582,"Lung","Parvoviridae","DNA Virus","M2201APHXSH085"
"417","M2201APHXSH085P","Bartonella kosoyi",436.402,"Spleen","Bartonellaceae","Bacteria","M2201APHXSH085"
"418","M2201APHXSH086C","Giardia sp3",69.7068,"Gut","Hexamitidae","Eukaryote","M2201APHXSH086"
"419","M2201APHXSW107C","Oxyurida sp",24.00054,"Gut","Oxyuridae","Eukaryote","M2201APHXSW107"
"420","M2201APXTSW108P","Rat minute virus 2a",5779.5732883,"Spleen","Parvoviridae","DNA Virus","M2201APXTSW108"
"421","M2201APXTSW109P","Rat minute virus 2a",9385.63,"Spleen","Parvoviridae","DNA Virus","M2201APXTSW109"
"422","M2201APXTSW111F","Rat minute virus 2a",109.8926,"Lung","Parvoviridae","DNA Virus","M2201APXTSW111"
"423","M2201APXTSW112C","Betacoronavirus 1",4.84444,"Gut","Coronaviridae","RNA Virus","M2201APXTSW112"
"424","M2201APXTSW112FX100","Rat minute virus 2a",1.112741,"Lung","Parvoviridae","DNA Virus","M2201APXTSW112"
"425","M2201APXTSW112P","Rat minute virus 2a",5912.52,"Spleen","Parvoviridae","DNA Virus","M2201APXTSW112"
"426","M2201APXTSW113FBRX100","Rat minute virus 2a",9.66192,"Lung","Parvoviridae","DNA Virus","M2201APXTSW113"
"427","M2201APXTSW114P","Rat minute virus 2a",17597.5,"Spleen","Parvoviridae","DNA Virus","M2201APXTSW114"
"428","M2201ZJBCSW153F","Pneumocystis wakefieldiae",15.2267427,"Lung","Pneumocystaceae","Eukaryote","M2201ZJBCSW153"
"429","M2201ZJBCSW153F","Rat hepatitis E virus",32.04964,"Lung","Hepeviridae","RNA Virus","M2201ZJBCSW153"
"430","M2201ZJBCSW154CRE","Rat minute virus 2a",67.90341,"Gut","Parvoviridae","DNA Virus","M2201ZJBCSW154"
"431","M2201ZJBCSW154F","Wenzhou virus",58.467745,"Lung","Arenaviridae","RNA Virus","M2201ZJBCSW154"
"432","M2201ZJBCSW154F","Guangdong rodent arterivirus 1",1251.506,"Lung","Arteriviridae","RNA Virus","M2201ZJBCSW154"
"433","M2201ZJBCSW154P","Rat minute virus 2a",224.61998,"Spleen","Parvoviridae","DNA Virus","M2201ZJBCSW154"
"434","M2201ZJBCSW155F","Rat hepatitis E virus",3.44768,"Lung","Hepeviridae","RNA Virus","M2201ZJBCSW155"
"435","M2201ZJBCSW155F","Pneumocystis wakefieldiae",4.1891092,"Lung","Pneumocystaceae","Eukaryote","M2201ZJBCSW155"
"436","M2201ZJBCSW155P","Rat hepatitis E virus",25.50043,"Spleen","Hepeviridae","RNA Virus","M2201ZJBCSW155"
"437","M2201ZJBCSW156C","Tritrichomonas sp",3.3781277,"Gut","Tritrichomonadidae","Eukaryote","M2201ZJBCSW156"
"438","M2201ZJBCSW156C","Wenzhou virus",3032.9,"Gut","Arenaviridae","RNA Virus","M2201ZJBCSW156"
"439","M2201ZJBCSW156F","Rat hepatitis E virus",8.36283,"Lung","Hepeviridae","RNA Virus","M2201ZJBCSW156"
"440","M2201ZJBCSW156F","Pneumocystis wakefieldiae",15.26477,"Lung","Pneumocystaceae","Eukaryote","M2201ZJBCSW156"
"441","M2201ZJBCSW156F","Wenzhou virus",1430.608849,"Lung","Arenaviridae","RNA Virus","M2201ZJBCSW156"
"442","M2201ZJBCSW156P","Wenzhou virus",682.5598,"Spleen","Arenaviridae","RNA Virus","M2201ZJBCSW156"
"443","M2201ZJBCSW157F","Rat hepatitis E virus",13.9007028,"Lung","Hepeviridae","RNA Virus","M2201ZJBCSW157"
"444","M2201ZJBCSW157P","Rat hepatitis E virus",33.05211,"Spleen","Hepeviridae","RNA Virus","M2201ZJBCSW157"
"445","M2201ZJBCSW159F","Angiostrongylus cantonensis",1.1881438,"Lung","Ancylostomatidae","Eukaryote","M2201ZJBCSW159"
"446","M2201ZJBCSW159F","Rat hepatitis E virus",21.95825,"Lung","Hepeviridae","RNA Virus","M2201ZJBCSW159"
"447","M2201ZJBCSW159P","Rat hepatitis E virus",48.05282,"Spleen","Hepeviridae","RNA Virus","M2201ZJBCSW159"
"448","M2201ZJBCSW159P","Rat minute virus 2a",448.493,"Spleen","Parvoviridae","DNA Virus","M2201ZJBCSW159"
"449","M2201ZJCQJH171NPRE","Rat minute virus 2a",22.455092,"Spleen","Parvoviridae","DNA Virus","M2201ZJCQJH171"
"450","M2201ZJHJSH173P","Rat minute virus 2a",14.1313,"Spleen","Parvoviridae","DNA Virus","M2201ZJHJSH173"
"451","M2201ZJHJSH174F","Orthohantavirus seoulense",71.74739,"Lung","Hantaviridae","RNA Virus","M2201ZJHJSH174"
"452","M2201ZJHJSH174F","Angiostrongylus cantonensis",279.184244,"Lung","Ancylostomatidae","Eukaryote","M2201ZJHJSH174"
"453","M2201ZJHJSH174F","Trypanosoma lewis",6.904554,"Lung","Trypanosomatidae","Eukaryote","M2201ZJHJSH174"
